model,store_id,item_id,validation_actual_units,validation_forecast_units,mae,rmse,bias,wape_percent,training_days,total_training_demand,mean_daily_demand,demand_standard_deviation,zero_sales_days,zero_sales_percentage,coefficient_of_variation,demand_pattern
last_value_naive,TX_1,FOODS_3_043,7.0,0.0,0.25,0.5,-0.25,100.0,1913,508,0.2656,0.6457,1555,81.2859,2.4314,highly_intermittent
last_value_naive,TX_1,FOODS_3_044,5.0,0.0,0.1786,0.4226,-0.1786,100.0,1913,422,0.2206,0.648,1642,85.8338,2.9376,highly_intermittent
last_value_naive,TX_1,FOODS_3_045,15.0,0.0,0.5357,0.982,-0.5357,100.0,1913,1265,0.6613,1.0027,1131,59.1218,1.5164,intermittent
last_value_naive,TX_1,FOODS_3_046,2.0,28.0,0.9286,0.9636,0.9286,1300.0,1913,435,0.2274,0.5731,1584,82.8019,2.5205,highly_intermittent
last_value_naive,TX_1,FOODS_3_047,29.0,0.0,1.0357,1.4015,-1.0357,100.0,1913,499,0.2608,0.8492,1679,87.7679,3.2556,highly_intermittent
last_value_naive,TX_1,FOODS_3_048,52.0,0.0,1.8571,2.5495,-1.8571,100.0,1913,1811,0.9467,1.6003,1131,59.1218,1.6904,intermittent
last_value_naive,TX_1,FOODS_3_049,8.0,28.0,0.7143,0.8452,0.7143,250.0,1913,343,0.1793,0.4881,1640,85.7292,2.7222,highly_intermittent
last_value_naive,TX_1,FOODS_3_050,4.0,0.0,0.1429,0.4629,-0.1429,100.0,1913,743,0.3884,0.7917,1406,73.4971,2.0384,intermittent
last_value_naive,WI_1,FOODS_3_001,10.0,28.0,0.7857,0.8864,0.6429,220.0,1913,329,0.172,0.5106,1665,87.0361,2.9687,highly_intermittent
last_value_naive,WI_1,FOODS_3_002,111.0,0.0,3.9643,5.474,-3.9643,100.0,1913,7155,3.7402,5.7245,1115,58.2854,1.5305,intermittent
last_value_naive,WI_1,FOODS_3_003,30.0,84.0,1.9286,2.1712,1.9286,180.0,1913,407,0.2128,0.7391,1713,89.5452,3.4739,highly_intermittent
last_value_naive,WI_1,FOODS_3_004,10.0,28.0,0.8571,0.9636,0.6429,240.0,1913,368,0.1924,0.531,1637,85.5724,2.7606,highly_intermittent
last_value_naive,WI_1,FOODS_3_005,18.0,56.0,1.3571,1.5584,1.3571,211.1111,1913,821,0.4292,0.7587,1319,68.9493,1.7679,intermittent
last_value_naive,WI_1,FOODS_3_006,27.0,0.0,0.9643,1.5236,-0.9643,100.0,1913,557,0.2912,0.6552,1525,79.7177,2.2503,intermittent
last_value_naive,WI_1,FOODS_3_007,143.0,0.0,5.1071,7.409,-5.1071,100.0,1913,9332,4.8782,6.8719,600,31.3643,1.4087,mixed
last_value_naive,WI_1,FOODS_3_008,125.0,0.0,4.4643,7.6695,-4.4643,100.0,1913,2393,1.2509,3.457,1349,70.5175,2.7635,intermittent
last_value_naive,WI_1,FOODS_3_009,3.0,0.0,0.1071,0.3273,-0.1071,100.0,1913,257,0.1343,0.4929,1741,91.0089,3.6688,highly_intermittent
last_value_naive,WI_1,FOODS_3_010,49.0,84.0,1.6071,1.9548,1.25,91.8367,1913,1436,0.7507,1.217,1194,62.4151,1.6213,intermittent
last_value_naive,WI_1,FOODS_3_011,57.0,112.0,2.25,2.5425,1.9643,110.5263,1913,3836,2.0052,2.0026,589,30.7893,0.9987,mixed
last_value_naive,WI_1,FOODS_3_012,25.0,0.0,0.8929,1.4268,-0.8929,100.0,1913,1707,0.8923,1.4296,1109,57.9718,1.6022,intermittent
last_value_naive,WI_1,FOODS_3_013,60.0,0.0,2.1429,2.7124,-2.1429,100.0,1913,2013,1.0523,1.4276,947,49.5034,1.3567,mixed
last_value_naive,WI_1,FOODS_3_014,23.0,0.0,0.8214,1.2677,-0.8214,100.0,1913,2534,1.3246,2.0388,963,50.3398,1.5391,intermittent
last_value_naive,WI_1,FOODS_3_015,49.0,84.0,1.25,1.6147,1.25,71.4286,1913,1999,1.045,1.7759,1043,54.5217,1.6995,intermittent
last_value_naive,WI_1,FOODS_3_016,46.0,84.0,1.6429,1.9272,1.3571,100.0,1913,682,0.3565,0.8075,1508,78.8291,2.2651,intermittent
last_value_naive,WI_1,FOODS_3_017,8.0,28.0,0.7857,0.8864,0.7143,275.0,1913,260,0.1359,0.3735,1673,87.4543,2.7478,highly_intermittent
last_value_naive,WI_1,FOODS_3_018,15.0,0.0,0.5357,0.9063,-0.5357,100.0,1913,339,0.1772,0.5559,1689,88.2906,3.1372,highly_intermittent
last_value_naive,WI_1,FOODS_3_019,39.0,56.0,1.1071,1.3229,0.6071,79.4872,1913,1606,0.8395,1.3236,1133,59.2263,1.5766,intermittent
last_value_naive,WI_1,FOODS_3_020,131.0,28.0,3.8929,5.8218,-3.6786,83.2061,1913,4467,2.3351,3.604,905,47.3079,1.5434,mixed
last_value_naive,WI_1,FOODS_3_021,9.0,0.0,0.3214,0.6268,-0.3214,100.0,1913,1264,0.6607,1.1229,1218,63.6696,1.6994,intermittent
last_value_naive,WI_1,FOODS_3_022,10.0,0.0,0.3571,1.0351,-0.3571,100.0,1913,218,0.114,0.3807,1732,90.5384,3.341,highly_intermittent
last_value_naive,WI_1,FOODS_3_023,17.0,28.0,0.75,0.982,0.3929,123.5294,1913,666,0.3481,0.6907,1426,74.5426,1.9839,intermittent
last_value_naive,WI_1,FOODS_3_024,0.0,0.0,0.0,0.0,0.0,,1913,2533,1.3241,3.425,1496,78.2018,2.5867,intermittent
last_value_naive,WI_1,FOODS_3_025,53.0,112.0,2.25,2.5981,2.1071,118.8679,1913,1998,1.0444,1.3594,852,44.5374,1.3016,mixed
