store_id,item_id,selected_model,backtest_mae,validation_mae,validation_rmse,validation_bias,validation_wape_percent
CA_1,FOODS_3_041,mean_28_days,2.493622448979592,2.4872448979591835,3.202956223776493,-0.2857142857142855,50.102774922918805
CA_1,FOODS_3_042,mean_28_days,1.4872448979591835,2.012755102040816,2.448187584516267,-0.42857142857142866,64.7783251231527
CA_1,FOODS_3_043,last_value_naive,0.5714285714285714,4.357142857142857,4.551294949163998,4.357142857142857,265.2173913043478
CA_1,FOODS_3_044,zero_forecast,0.45535714285714285,0.5,0.8017837257372732,-0.5,100.0
CA_1,FOODS_3_045,zero_forecast,0.35714285714285715,0.25,0.5669467095138409,-0.25,100.0
CA_1,FOODS_3_046,mean_28_days,1.139030612244898,1.2755102040816326,1.6272551071277885,-0.21428571428571427,89.28571428571429
CA_1,FOODS_3_047,zero_forecast,1.2410714285714286,1.0357142857142858,1.5236235005501102,-1.0357142857142858,100.0
CA_1,FOODS_3_048,mean_7_days,1.2857142857142858,1.4183673469387752,1.7670452681218547,-0.5000000000000001,86.33540372670807
CA_1,FOODS_3_049,mean_28_days,0.7493622448979591,0.8571428571428571,1.1567239100501177,0.035714285714285775,100.0
CA_1,FOODS_3_050,zero_forecast,0.3482142857142857,0.07142857142857142,0.2672612419124244,-0.07142857142857142,100.0
TX_1,FOODS_3_001,zero_forecast,0.0,0.07142857142857142,0.3779644730092272,-0.07142857142857142,100.0
TX_1,FOODS_3_002,zero_forecast,0.7589285714285714,1.0,1.8126539343499315,-1.0,100.0
TX_1,FOODS_3_003,zero_forecast,0.125,0.2857142857142857,0.5345224838248488,-0.2857142857142857,100.0
TX_1,FOODS_3_004,zero_forecast,0.07142857142857142,0.10714285714285714,0.32732683535398854,-0.10714285714285714,100.0
TX_1,FOODS_3_005,mean_28_days,1.1396683673469388,0.9591836734693876,1.0949792654825636,0.39285714285714274,76.73469387755101
TX_1,FOODS_3_006,mean_28_days,0.7417091836734694,0.6428571428571429,0.8306930964009293,0.32142857142857134,100.0
TX_1,FOODS_3_007,zero_forecast,5.151785714285714,1.5357142857142858,3.427827300200522,-1.5357142857142858,100.0
TX_1,FOODS_3_008,zero_forecast,0.19642857142857142,1.8214285714285714,3.640054944640259,-1.8214285714285714,100.0
TX_1,FOODS_3_009,zero_forecast,0.24107142857142858,0.25,0.6267831705280087,-0.25,100.0
TX_1,FOODS_3_010,zero_forecast,0.4017857142857143,0.2857142857142857,0.6546536707079771,-0.2857142857142857,100.0
TX_1,FOODS_3_011,zero_forecast,0.33035714285714285,0.39285714285714285,0.6813851438692469,-0.39285714285714285,100.0
TX_1,FOODS_3_012,zero_forecast,0.15178571428571427,0.14285714285714285,0.5345224838248488,-0.14285714285714285,100.0
TX_1,FOODS_3_013,zero_forecast,0.026785714285714284,0.35714285714285715,1.0,-0.35714285714285715,100.0
TX_1,FOODS_3_014,zero_forecast,0.17857142857142858,0.14285714285714285,0.4629100498862757,-0.14285714285714285,100.0
TX_1,FOODS_3_015,zero_forecast,0.8303571428571429,1.3928571428571428,2.179449471770337,-1.3928571428571428,100.0
TX_1,FOODS_3_016,zero_forecast,0.36607142857142855,0.42857142857142855,0.7559289460184544,-0.42857142857142855,100.0
TX_1,FOODS_3_017,weekly_seasonal_naive,0.15178571428571427,0.32142857142857145,0.5669467095138409,0.10714285714285714,180.0
TX_1,FOODS_3_018,zero_forecast,0.49107142857142855,0.35714285714285715,0.6546536707079771,-0.35714285714285715,100.0
TX_1,FOODS_3_019,zero_forecast,0.4375,0.5357142857142857,1.4516001023501126,-0.5357142857142857,100.0
TX_1,FOODS_3_020,mean_7_days,2.4489795918367347,2.2244897959183674,3.516723892883192,-1.8571428571428565,97.32142857142857
TX_1,FOODS_3_021,mean_7_days,0.8431122448979591,1.1122448979591837,1.1952286093343938,0.6428571428571429,173.015873015873
TX_1,FOODS_3_022,zero_forecast,0.41964285714285715,0.35714285714285715,0.7071067811865476,-0.35714285714285715,100.0
TX_1,FOODS_3_023,zero_forecast,0.8392857142857143,0.75,1.0522085616183026,-0.75,100.0
TX_1,FOODS_3_024,zero_forecast,1.8303571428571428,0.0,0.0,0.0,
TX_1,FOODS_3_025,mean_7_days,0.7602040816326531,0.8010204081632654,0.9285714285714286,0.1785714285714286,64.08163265306122
TX_1,FOODS_3_026,mean_28_days,0.774234693877551,0.9081632653061226,1.226826002665548,-0.17857142857142863,72.6530612244898
TX_1,FOODS_3_027,last_value_naive,0.5535714285714286,0.5357142857142857,1.0177004891982149,-0.5357142857142857,100.0
TX_1,FOODS_3_028,zero_forecast,0.6875,0.75,1.14953406710222,-0.75,100.0
TX_1,FOODS_3_029,zero_forecast,0.6875,0.4642857142857143,0.823754471047914,-0.4642857142857143,100.0
TX_1,FOODS_3_030,mean_7_days,4.600765306122448,4.581632653061225,5.177462935548607,-1.571428571428571,38.64027538726334
TX_1,FOODS_3_031,zero_forecast,0.6607142857142857,1.0714285714285714,2.0,-1.0714285714285714,100.0
TX_1,FOODS_3_032,mean_28_days,0.9081632653061226,0.8571428571428571,0.9767710236555245,0.5357142857142856,77.41935483870968
TX_1,FOODS_3_033,zero_forecast,0.375,0.25,0.5669467095138409,-0.25,100.0
TX_1,FOODS_3_034,mean_7_days,0.7755102040816325,0.9693877551020409,1.34011878852098,-0.6428571428571426,79.83193277310924
TX_1,FOODS_3_035,zero_forecast,0.5357142857142857,0.39285714285714285,0.6813851438692469,-0.39285714285714285,100.0
TX_1,FOODS_3_036,zero_forecast,0.0625,0.07142857142857142,0.2672612419124244,-0.07142857142857142,100.0
TX_1,FOODS_3_037,mean_7_days,0.4987244897959184,0.8979591836734694,1.142857142857143,-0.5714285714285714,78.57142857142857
TX_1,FOODS_3_038,zero_forecast,0.25,0.14285714285714285,0.4629100498862757,-0.14285714285714285,100.0
TX_1,FOODS_3_039,last_value_naive,0.7232142857142857,1.1071428571428572,1.4516001023501126,-0.4642857142857143,75.60975609756098
TX_1,FOODS_3_040,zero_forecast,0.10714285714285714,0.10714285714285714,0.32732683535398854,-0.10714285714285714,100.0
TX_1,FOODS_3_041,mean_7_days,0.9706632653061226,1.7448979591836735,2.892636675902369,0.14285714285714293,101.7857142857143
TX_1,FOODS_3_042,mean_7_days,1.3839285714285714,1.8571428571428572,2.2677868380553634,-1.4285714285714286,54.166666666666664
TX_1,FOODS_3_043,zero_forecast,0.05357142857142857,0.25,0.5,-0.25,100.0
TX_1,FOODS_3_044,zero_forecast,0.32142857142857145,0.17857142857142858,0.4225771273642583,-0.17857142857142858,100.0
